TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:6030143512	AL_SCAFFOLD_0007_1254	AL_SCAFFOLD_0007_1254.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030146501	SCAFFOLD_701855.1	SCAFFOLD_701855.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030147649	FGENESH2_KG.7__1981__AT4G23130.2	FGENESH2_KG.7__1981__AT4G23130.2.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030155320	SCAFFOLD_703184.1	SCAFFOLD_703184.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030052823	FGENESH2_KG.3__3381__AT2G17820.1	FGENESH2_KG.3__3381__AT2G17820.1.1	protein_coding			 membrane, ATP binding, protein histidine kinase activity, obsolete signal transducer activity, transferase activity, transferring phosphorus-containing groups, phosphorelay response regulator activity, phosphorelay sensor kinase activity, phosphorylation, signal transduction, regulation of transcription, DNA-templated, phosphorelay signal transduction system, peptidyl-histidine phosphorylation, ATP binding, membrane, obsolete signal transducer activity, peptidyl-histidine phosphorylation, phosphorelay response regulator activity, phosphorelay sensor kinase activity, phosphorelay signal transduction system, phosphorylation, protein histidine kinase activity, regulation of transcription, DNA-templated, signal transduction, transferase activity, transferring phosphorus-containing groups	false
Gene:6532555358	AT2G30940	AT2G30940.3	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 ATP binding, cultured plant cell, flower, flowering stage, integral component of membrane, phosphorylation, plasma membrane, protein kinase activity, protein phosphorylation, transmembrane receptor protein serine/threonine kinase activity	false
Gene:6532561804	AT1G78530	AT1G78530.2	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 ATP binding, LP.04 four leaves visible stage, collective leaf structure, flower, flowering stage, guard cell, integral component of membrane, petal, petal differentiation and expansion stage, petiole, phosphorylation, plasma membrane, protein phosphorylation, protein serine/threonine kinase activity, root, sepal, transmembrane receptor protein serine/threonine kinase activity, vascular leaf	true
Gene:6532551985	AT4G04540	AT4G04540.3	protein_coding	Encodes a cysteine-rich receptor-like protein kinase.		 plasma membrane, ATP binding, extracellular region, guard cell, integral component of membrane, kinase activity, plasma membrane, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity	false
Gene:2031406	AT1G77390	AT1G77390.1	protein_coding	Encodes a core cell cycle gene involved in meiosis II during microsporogenesis. Recessive mutants exhibit delayed and asynchronous meiosis in pollen mother cell populations and uncoordinated nuclear division and cytokinesis resulting in dyad microspores.	CYCA1; CYCA1;2; CYCLIN A1; CYCLIN A1;2; DYP; TAM; TARDY ASYNCHRONOUS MEIOSIS	 nucleus, L mature pollen stage, M germinated pollen stage, cell division, collective leaf structure, cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase regulator activity, cytoplasm, flower, flower pedicel, flowering stage, guard cell, male meiotic nuclear division, mature plant embryo stage, meiosis II, microsporogenesis, mitotic cell cycle phase transition, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein binding, protein kinase activity, protein kinase binding, regulation of cyclin-dependent protein serine/threonine kinase activity, regulation of meiotic cell cycle, seed, sepal, shoot apex, vascular leaf	false
Gene:2063196	AT2G41140	AT2G41140.1	protein_coding	Encodes CDPK-related kinase 1 (CRK1).	ATCBK3; ATCRK1; CDPK-RELATED KINASE 1; CRK1	 plasma membrane, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, abscisic acid-activated signaling pathway, calcium-dependent protein serine/threonine kinase activity, calmodulin binding, calmodulin-dependent protein kinase activity, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, heat acclimation, hypocotyl, inflorescence meristem, intracellular signal transduction, leaf apex, leaf lamina base, mature plant embryo stage, metal ion binding, nucleus, peptidyl-serine phosphorylation, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein autophosphorylation, protein binding, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
